DateTime,RouteId,PredictedVehicles,BaseDate,ModelUsed
2025-11-16 00:00:00,I-94-WB,1964512.2,2025-11-15,GRU
2025-11-16 01:00:00,I-94-WB,1920478.9,2025-11-15,GRU
2025-11-16 02:00:00,I-94-WB,2152936.0,2025-11-15,GRU
2025-11-16 03:00:00,I-94-WB,2703114.0,2025-11-15,GRU
2025-11-16 04:00:00,I-94-WB,3507678.2,2025-11-15,GRU
2025-11-16 05:00:00,I-94-WB,4576753.0,2025-11-15,GRU
2025-11-16 06:00:00,I-94-WB,5779442.5,2025-11-15,GRU
2025-11-16 07:00:00,I-94-WB,7009375.5,2025-11-15,GRU
2025-11-16 08:00:00,I-94-WB,8160442.0,2025-11-15,GRU
2025-11-16 09:00:00,I-94-WB,9222871.0,2025-11-15,GRU
2025-11-16 10:00:00,I-94-WB,10113113.0,2025-11-15,GRU
2025-11-16 11:00:00,I-94-WB,10772217.0,2025-11-15,GRU
2025-11-16 12:00:00,I-94-WB,11140283.0,2025-11-15,GRU
2025-11-16 13:00:00,I-94-WB,11210007.0,2025-11-15,GRU
2025-11-16 14:00:00,I-94-WB,10970800.0,2025-11-15,GRU
2025-11-16 15:00:00,I-94-WB,10448927.0,2025-11-15,GRU
2025-11-16 16:00:00,I-94-WB,9665972.0,2025-11-15,GRU
2025-11-16 17:00:00,I-94-WB,8610127.0,2025-11-15,GRU
2025-11-16 18:00:00,I-94-WB,7425117.0,2025-11-15,GRU
2025-11-16 19:00:00,I-94-WB,6210883.0,2025-11-15,GRU
2025-11-16 20:00:00,I-94-WB,5046263.0,2025-11-15,GRU
2025-11-16 21:00:00,I-94-WB,3985421.8,2025-11-15,GRU
2025-11-16 22:00:00,I-94-WB,3112845.0,2025-11-15,GRU
2025-11-16 23:00:00,I-94-WB,2486768.8,2025-11-15,GRU
